mc_scenario,mc_path_id,mc_seed,final_nav__buy_hold_50_50,final_nav__fractal_dynamic_aave_hedged_lp,final_nav__fractal_fixed_hedge_lp,final_nav__fractal_plain_uniswap_v2_lp,max_drawdown__buy_hold_50_50,max_drawdown__fractal_dynamic_aave_hedged_lp,max_drawdown__fractal_fixed_hedge_lp,max_drawdown__fractal_plain_uniswap_v2_lp,sharpe__buy_hold_50_50,sharpe__fractal_dynamic_aave_hedged_lp,sharpe__fractal_fixed_hedge_lp,sharpe__fractal_plain_uniswap_v2_lp,dynamic_minus_plain_final_nav,dynamic_minus_fixed_final_nav,dynamic_drawdown_improvement_vs_plain,dynamic_minus_plain_sharpe
strong_uptrend,0,200042,309908.3935596802,70123.7593808105,43943.62251110593,165557.83892886344,-0.15370904817543762,-0.7573878056262631,-0.8680944970115384,-0.8003495545571069,3.2364057997762536,0.2633469930049061,-0.06204485049686291,1.1111219029855035,-95434.07954805293,26180.13686970457,0.04296174893084381,-0.8477749099805973
strong_uptrend,1,200043,92357.5441490392,86787.36684095039,88968.87099141315,69160.76588421818,-0.20537832474605577,-0.3325620041697357,-0.32609347166319025,-0.7207438245810678,-0.15580526367058173,-0.08755999651442689,-0.036372331470450416,0.24657204053827653,17626.600956732203,-2181.504150462759,0.3881818204113321,-0.33413203705270345
strong_uptrend,2,200044,103710.47271001556,69104.31193563291,73686.25140741594,48672.2610692911,-0.23024568160673087,-0.9104639034740758,-0.9050579705342026,-0.9678515074202969,0.2735102141169747,0.5072986195259297,0.5452459426521398,0.6515571798984149,20432.050866341815,-4581.939471783029,0.05738760394622111,-0.1442585603724852
strong_uptrend,3,200045,99817.90088124381,143812.09871449613,143563.25748773487,184308.9659667943,-0.3566658863655472,-0.6648789941426811,-0.6683524482295211,-0.8667676246206466,0.10853585976306862,0.923170840543629,0.9137479871955275,1.107974897274257,-40496.867252298165,248.84122676125844,0.20188863047796546,-0.18480405673062794
strong_uptrend,4,200046,134191.8967559628,175211.06818180066,174435.53574405896,276504.55071698583,-0.1757677442797081,-0.3857110413793883,-0.382374136695279,-0.522500293713394,1.0339310270294488,1.1371183486715826,1.1301158030355816,1.457689130270324,-101293.48253518518,775.5324377416982,0.13678925233400574,-0.3205707815987415
strong_uptrend,5,200047,292543.77932455955,560240.4475622234,530555.3887002764,1125745.7203743428,-0.21792409023971726,-0.6209085107379468,-0.6675312681941323,-0.6784515096294634,2.7054389007202397,2.3019846163287996,2.183425711543615,2.675821543497982,-565505.2728121193,29685.058861947036,0.057542998891516595,-0.3738369271691826
strong_uptrend,6,200048,99221.49392596814,56364.37177613356,59424.93668403215,16219.485174200547,-0.17838704534539285,-0.49644709165018364,-0.5037657173879602,-0.8985578870864245,0.12636410732180406,-1.2449663420328316,-1.0964258154756925,-0.9867610338414714,40144.88660193301,-3060.5649078985953,0.40211079543624084,-0.2582053081913602
strong_uptrend,7,200049,84372.20656385741,574654.6489769542,578063.6231631591,1040302.9658767194,-0.29972599521537335,-0.3581520563102243,-0.3564861324773403,-0.44031464364288253,-0.5672461407718168,2.7918304655602113,2.8001239358058134,2.597261865399488,-465648.3168997653,-3408.974186204956,0.08216258733265824,0.1945686001607232
strong_uptrend,8,200050,156646.2556019495,231242.83599879098,226802.40803344647,400047.2821861772,-0.22279257437194888,-0.5148355041951651,-0.5128235854923164,-0.7037540908084051,1.577363852374472,1.617098311811704,1.5804578810910532,1.7733135505226683,-168804.44618738623,4440.427965344512,0.18891858661324,-0.15621523871096432
strong_uptrend,9,200051,258795.35069601494,63041.9479592555,10371.15822110726,54952.17221676998,-0.27130204513689204,-0.525079855083558,-0.9473011947314487,-0.8443374338973808,2.742356088999357,-0.7678547327850406,-1.207121720240493,0.05945610858208288,8089.775742485523,52670.78973814824,0.3192575788138228,-0.8273108413671234
strong_uptrend,10,200052,163417.2017033596,152709.08166016793,144857.35580965134,242862.10461282526,-0.19907462560382427,-0.48469440529990937,-0.5241421801306823,-0.6169320844446284,1.4978279664912393,0.9525120845951455,0.8697486999758007,1.3457827110364013,-90153.02295265734,7851.725850516581,0.13223767914471907,-0.3932706264412559
strong_uptrend,11,200053,151706.8874593602,133068.87341148886,130639.53239680543,203909.41203281016,-0.25424122135059213,-0.4126325879876227,-0.4179541315001615,-0.5253538868135688,1.371780907471255,0.7570006592649252,0.7330250418196295,1.195139118661837,-70840.53862132129,2429.341014683436,0.11272129882594606,-0.43813845939691176
